Time,Channel A
(ms),(V)

0.00000000,-1.65677300
0.00011200,-0.84953250
0.00022400,-0.08489173
0.00033600,0.55225770
0.00044800,0.84953250
0.00056000,0.38232030
0.00067200,0.00000000
0.00078400,0.08489173
0.00089600,0.38232030
0.00100800,0.04244586
0.00112000,0.42476620
0.00123200,1.23200700
0.00134400,1.82671000
0.00145600,1.82671000
0.00156800,1.35934400
0.00168000,0.89213220
0.00179200,0.46721210
0.00190400,0.00000000
0.00201600,-0.04244586
0.00212800,-0.42476620
0.00224000,-0.21238310
0.00235200,0.16978350
0.00246400,0.55225770
0.00257600,0.50965800
0.00268800,0.16978350
0.00280000,-0.21238310
0.00291200,-0.63714930
0.00302400,-0.76464070
0.00313600,-1.06206900
0.00324800,-0.89213220
0.00336000,0.00000000
0.00347200,0.55225770
0.00358400,1.27445200
0.00369600,1.40179000
0.00380800,0.93457810
0.00392000,0.46721210
0.00403200,0.04244586
0.00414400,-0.29727490
0.00425600,-0.38232030
0.00436800,-0.67959520
0.00448000,-1.06206900
0.00459200,-1.35934400
0.00470400,-1.61432700
0.00481600,-1.78426400
0.00492800,-1.99664700
0.00504000,-1.78426400
0.00515200,-0.93457810
0.00526400,-0.12733760
0.00537600,0.33972070
0.00548800,0.12733760
0.00560000,0.12733760
0.00571200,0.08489173
0.00582400,-0.08489173
0.00593600,-0.33972070
0.00604800,-0.63714930
0.00616000,-0.08489173
0.00627200,0.46721210
0.00638400,1.44439000
0.00649600,1.91160200
0.00660800,2.25147600
0.00672000,2.33652200
0.00683200,1.78426400
0.00694400,1.40179000
0.00705600,0.93457810
0.00716800,0.55225770
0.00728000,0.12733760
0.00739200,-0.21238310
0.00750400,-0.59470350
0.00761600,-0.89213220
0.00772800,-1.23200700
0.00784000,-1.52928100
0.00795200,-1.40179000
0.00806400,-1.65677300
0.00817600,-1.57172700
0.00828800,-0.42476620
0.00840000,0.08489173
0.00851200,0.59470350
0.00862400,0.29727490
0.00873600,0.55225770
0.00884800,0.80708660
0.00896000,0.42476620
0.00907200,0.08489173
0.00918400,-0.21238310
0.00929600,0.21238310
0.00940800,0.50965800
0.00952000,0.08489173
0.00963200,-0.25482900
0.00974400,-0.55225770
0.00985600,-0.84953250
0.00996800,-1.18940700
0.01008000,-1.10451500
0.01019200,-0.46721210
0.01030400,0.08489173
0.01041600,0.59470350
0.01052800,0.46721210
0.01064000,0.84953250
0.01075200,0.63714930
0.01086400,0.25482900
0.01097600,-0.08489173
0.01108800,-0.42476620
0.01120000,-0.80708660
0.01131200,-0.21238310
0.01142400,0.55225770
0.01153600,1.14696100
0.01164800,1.06206900
0.01176000,0.59470350
0.01187200,0.21238310
0.01198400,-0.16978350
0.01209600,-0.50965800
0.01220800,-0.80708660
0.01232000,-1.14696100
0.01243200,-1.35934400
0.01254400,-1.61432700
0.01265600,-1.65677300
0.01276800,-1.91160200
0.01288000,-2.08153900
0.01299200,-1.35934400
0.01310400,0.29727490
0.01321600,2.08153900
0.01332800,2.50645900
0.01344000,2.84633400
0.01355200,2.59135100
0.01366400,2.03909300
0.01377600,1.52928100
