Time,Channel A
(ms),(mV)

0.00000000,39.14247000
0.00001600,42.55044000
0.00003200,45.95226000
0.00004800,47.65625000
0.00006400,49.36023000
0.00008000,52.76205000
0.00009600,54.46604000
0.00011200,57.86786000
0.00012800,57.86786000
0.00014400,61.27583000
0.00016000,61.27583000
0.00017600,64.67765000
0.00019200,64.67765000
0.00020800,68.07948000
0.00022400,66.38164000
0.00024000,69.78346000
0.00025600,68.07948000
0.00027200,73.18528000
0.00028800,68.07948000
0.00030400,73.18528000
0.00032000,69.78346000
0.00033600,73.18528000
0.00035200,69.78346000
0.00036800,71.48744000
0.00038400,69.78346000
0.00040000,71.48744000
0.00041600,69.78346000
0.00043200,69.78346000
0.00044800,66.38164000
0.00046400,68.07948000
0.00048000,64.67765000
0.00049600,66.38164000
0.00051200,61.27583000
0.00052800,61.27583000
0.00054400,57.86786000
0.00056000,59.57185000
0.00057600,52.76205000
0.00059200,54.46604000
0.00060800,49.36023000
0.00062400,49.36023000
0.00064000,44.25443000
0.00065600,44.25443000
0.00067200,40.84645000
0.00068800,39.14247000
0.00070400,34.03666000
0.00072000,32.33883000
0.00073600,28.93085000
0.00075200,27.23302000
0.00076800,22.12721000
0.00078400,20.42323000
0.00080000,15.31742000
0.00081600,13.61343000
0.00083200,8.50762700
0.00084800,6.80364100
0.00086400,1.69783400
0.00088000,0.00000000
0.00089600,-5.10580700
0.00091200,-6.80364100
0.00092800,-10.21161000
0.00094400,-13.61343000
0.00096000,-17.01525000
0.00097600,-20.42323000
0.00099200,-23.82505000
0.00100800,-25.52903000
0.00102400,-30.63484000
0.00104000,-32.33883000
0.00105600,-37.44463000
0.00107200,-37.44463000
0.00108800,-42.55044000
0.00110400,-42.55044000
0.00112000,-47.65625000
0.00113600,-47.65625000
0.00115200,-51.05807000
0.00116800,-52.76205000
0.00118400,-56.16388000
0.00120000,-57.86786000
0.00121600,-59.57185000
0.00123200,-61.27583000
0.00124800,-62.97367000
0.00126400,-64.67765000
0.00128000,-66.38164000
0.00129600,-68.07948000
