Time,Channel A
(ms),(mV)

0.00000000,17.01525000
0.00001600,22.12721000
0.00003200,28.93085000
0.00004800,35.74065000
0.00006400,39.14247000
0.00008000,47.65625000
0.00009600,49.36023000
0.00011200,57.86786000
0.00012800,59.57185000
0.00014400,68.07948000
0.00016000,71.48744000
0.00017600,78.29109000
0.00019200,79.99508000
0.00020800,86.80487000
0.00022400,90.20669000
0.00024000,95.31249000
0.00025600,97.01648000
0.00027200,102.12230000
0.00028800,105.53030000
0.00030400,108.93210000
0.00032000,112.33390000
0.00033600,115.74190000
0.00035200,115.74190000
0.00036800,120.84770000
0.00038400,120.84770000
0.00040000,124.24950000
0.00041600,124.24950000
0.00043200,127.65750000
0.00044800,125.95350000
0.00046400,129.35530000
0.00048000,127.65750000
0.00049600,131.05930000
0.00051200,127.65750000
0.00052800,129.35530000
0.00054400,127.65750000
0.00056000,127.65750000
0.00057600,124.24950000
0.00059200,125.95350000
0.00060800,120.84770000
0.00062400,122.55170000
0.00064000,117.43970000
0.00065600,119.14370000
0.00067200,112.33390000
0.00068800,112.33390000
0.00070400,107.22810000
0.00072000,105.53030000
0.00073600,100.42450000
0.00075200,98.72046000
0.00076800,93.61466000
0.00078400,90.20669000
0.00080000,85.10088000
0.00081600,81.69906000
0.00083200,76.59325000
0.00084800,71.48744000
0.00086400,66.38164000
0.00088000,61.27583000
0.00089600,56.16388000
0.00091200,49.36023000
0.00092800,44.25443000
0.00094400,39.14247000
0.00096000,32.33883000
0.00097600,28.93085000
0.00099200,20.42323000
0.00100800,15.31742000
0.00102400,8.50762700
0.00104000,3.40182100
0.00105600,-3.40182100
0.00107200,-8.50762700
0.00108800,-15.31742000
0.00110400,-22.12721000
0.00112000,-25.52903000
0.00113600,-34.03666000
0.00115200,-37.44463000
0.00116800,-45.95226000
0.00118400,-47.65625000
0.00120000,-56.16388000
0.00121600,-59.57185000
0.00123200,-66.38164000
0.00124800,-69.78346000
0.00126400,-76.59325000
0.00128000,-79.99508000
0.00129600,-85.10088000
0.00131200,-88.50885000
