Time,Channel A
(ms),(mV)

0.00000000,-37.44463000
0.00001600,-42.55044000
0.00003200,-44.25443000
0.00004800,-49.36023000
0.00006400,-52.76205000
0.00008000,-56.16388000
0.00009600,-56.16388000
0.00011200,-62.97367000
0.00012800,-62.97367000
0.00014400,-69.78346000
0.00016000,-68.07948000
0.00017600,-74.88927000
0.00019200,-73.18528000
0.00020800,-78.29109000
0.00022400,-78.29109000
0.00024000,-81.69906000
0.00025600,-81.69906000
0.00027200,-83.40305000
0.00028800,-85.10088000
0.00030400,-85.10088000
0.00032000,-86.80487000
0.00033600,-86.80487000
0.00035200,-86.80487000
0.00036800,-88.50885000
0.00038400,-86.80487000
0.00040000,-86.80487000
0.00041600,-88.50885000
0.00043200,-86.80487000
0.00044800,-86.80487000
0.00046400,-85.10088000
0.00048000,-85.10088000
0.00049600,-83.40305000
0.00051200,-81.69906000
0.00052800,-79.99508000
0.00054400,-78.29109000
0.00056000,-76.59325000
0.00057600,-74.88927000
0.00059200,-71.48744000
0.00060800,-71.48744000
0.00062400,-68.07948000
0.00064000,-68.07948000
0.00065600,-62.97367000
0.00067200,-62.97367000
0.00068800,-56.16388000
0.00070400,-56.16388000
0.00072000,-51.05807000
0.00073600,-49.36023000
0.00075200,-44.25443000
0.00076800,-44.25443000
0.00078400,-37.44463000
0.00080000,-35.74065000
0.00081600,-28.93085000
0.00083200,-28.93085000
0.00084800,-22.12721000
0.00086400,-20.42323000
0.00088000,-13.61343000
0.00089600,-13.61343000
0.00091200,-5.10580700
0.00092800,-3.40182100
0.00094400,3.40182100
0.00096000,5.10580700
0.00097600,10.21161000
0.00099200,13.61343000
0.00100800,18.71924000
0.00102400,20.42323000
0.00104000,27.23302000
0.00105600,28.93085000
0.00107200,35.74065000
0.00108800,37.44463000
0.00110400,42.55044000
0.00112000,44.25443000
0.00113600,49.36023000
0.00115200,51.05807000
0.00116800,56.16388000
0.00118400,56.16388000
0.00120000,62.97367000
0.00121600,61.27583000
0.00123200,68.07948000
0.00124800,68.07948000
