Time,Channel A
(ms),(mV)

0.00000000,22.12721000
0.00001600,22.12721000
0.00003200,25.52903000
0.00004800,23.82505000
0.00006400,28.93085000
0.00008000,25.52903000
0.00009600,30.63484000
0.00011200,28.93085000
0.00012800,30.63484000
0.00014400,30.63484000
0.00016000,32.33883000
0.00017600,32.33883000
0.00019200,32.33883000
0.00020800,34.03666000
0.00022400,34.03666000
0.00024000,35.74065000
0.00025600,34.03666000
0.00027200,35.74065000
0.00028800,34.03666000
0.00030400,37.44463000
0.00032000,34.03666000
0.00033600,37.44463000
0.00035200,34.03666000
0.00036800,35.74065000
0.00038400,34.03666000
0.00040000,34.03666000
0.00041600,34.03666000
0.00043200,32.33883000
0.00044800,32.33883000
0.00046400,32.33883000
0.00048000,30.63484000
0.00049600,32.33883000
0.00051200,28.93085000
0.00052800,28.93085000
0.00054400,25.52903000
0.00056000,28.93085000
0.00057600,23.82505000
0.00059200,25.52903000
0.00060800,22.12721000
0.00062400,23.82505000
0.00064000,18.71924000
0.00065600,20.42323000
0.00067200,17.01525000
0.00068800,17.01525000
0.00070400,13.61343000
0.00072000,15.31742000
0.00073600,11.90945000
0.00075200,11.90945000
0.00076800,6.80364100
0.00078400,8.50762700
0.00080000,3.40182100
0.00081600,6.80364100
0.00083200,0.00000000
0.00084800,3.40182100
0.00086400,-3.40182100
0.00088000,0.00000000
0.00089600,-5.10580700
0.00091200,-5.10580700
0.00092800,-8.50762700
0.00094400,-8.50762700
0.00096000,-10.21161000
0.00097600,-11.90945000
0.00099200,-13.61343000
0.00100800,-13.61343000
0.00102400,-17.01525000
0.00104000,-17.01525000
0.00105600,-20.42323000
0.00107200,-18.71924000
0.00108800,-23.82505000
0.00110400,-22.12721000
0.00112000,-27.23302000
0.00113600,-23.82505000
0.00115200,-28.93085000
0.00116800,-27.23302000
0.00118400,-30.63484000
0.00120000,-28.93085000
0.00121600,-32.33883000
0.00123200,-30.63484000
0.00124800,-34.03666000
0.00126400,-32.33883000
0.00128000,-35.74065000
0.00129600,-35.74065000
