Time,Channel A
(ms),(mV)

0.00000000,20.42323000
0.00001600,23.82505000
0.00003200,18.71924000
0.00004800,20.42323000
0.00006400,15.31742000
0.00008000,17.01525000
0.00009600,13.61343000
0.00011200,13.61343000
0.00012800,10.21161000
0.00014400,10.21161000
0.00016000,6.80364100
0.00017600,6.80364100
0.00019200,3.40182100
0.00020800,3.40182100
0.00022400,0.00000000
0.00024000,0.00000000
0.00025600,-3.40182100
0.00027200,-3.40182100
0.00028800,-8.50762700
0.00030400,-8.50762700
0.00032000,-11.90945000
0.00033600,-11.90945000
0.00035200,-15.31742000
0.00036800,-15.31742000
0.00038400,-17.01525000
0.00040000,-18.71924000
0.00041600,-20.42323000
0.00043200,-22.12721000
0.00044800,-23.82505000
0.00046400,-25.52903000
0.00048000,-25.52903000
0.00049600,-27.23302000
0.00051200,-28.93085000
0.00052800,-30.63484000
0.00054400,-30.63484000
0.00056000,-32.33883000
0.00057600,-32.33883000
0.00059200,-34.03666000
0.00060800,-35.74065000
0.00062400,-35.74065000
0.00064000,-35.74065000
0.00065600,-37.44463000
0.00067200,-39.14247000
0.00068800,-37.44463000
0.00070400,-39.14247000
0.00072000,-39.14247000
0.00073600,-39.14247000
0.00075200,-39.14247000
0.00076800,-39.14247000
0.00078400,-40.84645000
0.00080000,-37.44463000
0.00081600,-40.84645000
0.00083200,-37.44463000
0.00084800,-39.14247000
0.00086400,-35.74065000
0.00088000,-37.44463000
0.00089600,-35.74065000
0.00091200,-35.74065000
0.00092800,-34.03666000
0.00094400,-35.74065000
0.00096000,-32.33883000
0.00097600,-32.33883000
0.00099200,-30.63484000
0.00100800,-32.33883000
0.00102400,-28.93085000
0.00104000,-28.93085000
0.00105600,-25.52903000
0.00107200,-27.23302000
0.00108800,-22.12721000
0.00110400,-23.82505000
0.00112000,-18.71924000
0.00113600,-20.42323000
0.00115200,-17.01525000
0.00116800,-17.01525000
0.00118400,-13.61343000
0.00120000,-13.61343000
0.00121600,-10.21161000
0.00123200,-10.21161000
0.00124800,-6.80364100
