Time,Channel A
(ms),(mV)

0.00000000,-49.36023000
0.00001600,-47.65625000
0.00003200,-51.05807000
0.00004800,-51.05807000
0.00006400,-52.76205000
0.00008000,-54.46604000
0.00009600,-54.46604000
0.00011200,-54.46604000
0.00012800,-56.16388000
0.00014400,-56.16388000
0.00016000,-57.86786000
0.00017600,-56.16388000
0.00019200,-57.86786000
0.00020800,-56.16388000
0.00022400,-57.86786000
0.00024000,-56.16388000
0.00025600,-56.16388000
0.00027200,-54.46604000
0.00028800,-54.46604000
0.00030400,-54.46604000
0.00032000,-52.76205000
0.00033600,-52.76205000
0.00035200,-51.05807000
0.00036800,-51.05807000
0.00038400,-49.36023000
0.00040000,-47.65625000
0.00041600,-45.95226000
0.00043200,-44.25443000
0.00044800,-44.25443000
0.00046400,-40.84645000
0.00048000,-40.84645000
0.00049600,-37.44463000
0.00051200,-37.44463000
0.00052800,-32.33883000
0.00054400,-32.33883000
0.00056000,-28.93085000
0.00057600,-27.23302000
0.00059200,-23.82505000
0.00060800,-22.12721000
0.00062400,-20.42323000
0.00064000,-17.01525000
0.00065600,-15.31742000
0.00067200,-11.90945000
0.00068800,-10.21161000
0.00070400,-6.80364100
0.00072000,-5.10580700
0.00073600,-1.69783400
0.00075200,1.69783400
0.00076800,3.40182100
0.00078400,6.80364100
0.00080000,8.50762700
0.00081600,10.21161000
0.00083200,13.61343000
0.00084800,15.31742000
0.00086400,18.71924000
0.00088000,20.42323000
0.00089600,22.12721000
0.00091200,23.82505000
0.00092800,28.93085000
0.00094400,28.93085000
0.00096000,32.33883000
0.00097600,32.33883000
0.00099200,37.44463000
0.00100800,35.74065000
0.00102400,39.14247000
0.00104000,40.84645000
0.00105600,42.55044000
0.00107200,44.25443000
0.00108800,45.95226000
0.00110400,45.95226000
0.00112000,49.36023000
0.00113600,47.65625000
0.00115200,51.05807000
0.00116800,49.36023000
0.00118400,54.46604000
0.00120000,51.05807000
0.00121600,56.16388000
0.00123200,51.05807000
0.00124800,56.16388000
0.00126400,52.76205000
