Time,Channel A
(ms),(mV)

0.00000000,-13.61343000
0.00001600,-10.21161000
0.00003200,-13.61343000
0.00004800,-10.21161000
0.00006400,-11.90945000
0.00008000,-10.21161000
0.00009600,-11.90945000
0.00011200,-8.50762700
0.00012800,-11.90945000
0.00014400,-8.50762700
0.00016000,-10.21161000
0.00017600,-6.80364100
0.00019200,-8.50762700
0.00020800,-6.80364100
0.00022400,-8.50762700
0.00024000,-5.10580700
0.00025600,-6.80364100
0.00027200,-3.40182100
0.00028800,-6.80364100
0.00030400,-1.69783400
0.00032000,-5.10580700
0.00033600,-1.69783400
0.00035200,-3.40182100
0.00036800,0.00000000
0.00038400,-1.69783400
0.00040000,0.00000000
0.00041600,0.00000000
0.00043200,1.69783400
0.00044800,0.00000000
0.00046400,3.40182100
0.00048000,1.69783400
0.00049600,3.40182100
0.00051200,1.69783400
0.00052800,5.10580700
0.00054400,3.40182100
0.00056000,5.10580700
0.00057600,5.10580700
0.00059200,6.80364100
0.00060800,5.10580700
0.00062400,6.80364100
0.00064000,5.10580700
0.00065600,8.50762700
0.00067200,6.80364100
0.00068800,8.50762700
0.00070400,8.50762700
0.00072000,8.50762700
0.00073600,10.21161000
0.00075200,8.50762700
0.00076800,10.21161000
0.00078400,8.50762700
0.00080000,11.90945000
0.00081600,8.50762700
0.00083200,11.90945000
0.00084800,10.21161000
0.00086400,11.90945000
0.00088000,10.21161000
0.00089600,11.90945000
0.00091200,10.21161000
0.00092800,11.90945000
0.00094400,10.21161000
0.00096000,11.90945000
0.00097600,10.21161000
0.00099200,11.90945000
0.00100800,11.90945000
0.00102400,11.90945000
0.00104000,10.21161000
0.00105600,11.90945000
0.00107200,8.50762700
0.00108800,11.90945000
0.00110400,8.50762700
0.00112000,11.90945000
0.00113600,8.50762700
0.00115200,10.21161000
0.00116800,6.80364100
0.00118400,10.21161000
0.00120000,6.80364100
0.00121600,10.21161000
0.00123200,6.80364100
0.00124800,8.50762700
0.00126400,5.10580700
0.00128000,8.50762700
0.00129600,5.10580700
