Time,Channel A
(ms),(mV)

0.00000000,39.14247000
0.00001600,35.74065000
0.00003200,28.93085000
0.00004800,25.52903000
0.00006400,20.42323000
0.00008000,13.61343000
0.00009600,10.21161000
0.00011200,5.10580700
0.00012800,0.00000000
0.00014400,-6.80364100
0.00016000,-8.50762700
0.00017600,-15.31742000
0.00019200,-20.42323000
0.00020800,-23.82505000
0.00022400,-30.63484000
0.00024000,-34.03666000
0.00025600,-42.55044000
0.00027200,-42.55044000
0.00028800,-51.05807000
0.00030400,-52.76205000
0.00032000,-59.57185000
0.00033600,-61.27583000
0.00035200,-68.07948000
0.00036800,-69.78346000
0.00038400,-76.59325000
0.00040000,-78.29109000
0.00041600,-83.40305000
0.00043200,-85.10088000
0.00044800,-90.20669000
0.00046400,-91.91067000
0.00048000,-95.31249000
0.00049600,-97.01648000
0.00051200,-102.12230000
0.00052800,-100.42450000
0.00054400,-107.22810000
0.00056000,-105.53030000
0.00057600,-110.63610000
0.00059200,-107.22810000
0.00060800,-112.33390000
0.00062400,-110.63610000
0.00064000,-114.03790000
0.00065600,-110.63610000
0.00067200,-114.03790000
0.00068800,-112.33390000
0.00070400,-114.03790000
0.00072000,-110.63610000
0.00073600,-112.33390000
0.00075200,-108.93210000
0.00076800,-110.63610000
0.00078400,-105.53030000
0.00080000,-107.22810000
0.00081600,-102.12230000
0.00083200,-102.12230000
0.00084800,-98.72046000
0.00086400,-97.01648000
0.00088000,-91.91067000
0.00089600,-93.61466000
0.00091200,-86.80487000
0.00092800,-85.10088000
0.00094400,-79.99508000
0.00096000,-78.29109000
0.00097600,-73.18528000
0.00099200,-69.78346000
0.00100800,-64.67765000
0.00102400,-61.27583000
0.00104000,-56.16388000
0.00105600,-52.76205000
0.00107200,-47.65625000
0.00108800,-44.25443000
0.00110400,-37.44463000
0.00112000,-35.74065000
0.00113600,-27.23302000
0.00115200,-25.52903000
0.00116800,-17.01525000
0.00118400,-15.31742000
0.00120000,-6.80364100
0.00121600,-5.10580700
0.00123200,3.40182100
0.00124800,5.10580700
