Time,Channel A
(ms),(mV)

0.00000000,-30.63484000
0.00001600,-25.52903000
0.00003200,-25.52903000
0.00004800,-18.71924000
0.00006400,-18.71924000
0.00008000,-13.61343000
0.00009600,-13.61343000
0.00011200,-8.50762700
0.00012800,-6.80364100
0.00014400,-3.40182100
0.00016000,-1.69783400
0.00017600,3.40182100
0.00019200,5.10580700
0.00020800,8.50762700
0.00022400,11.90945000
0.00024000,15.31742000
0.00025600,17.01525000
0.00027200,22.12721000
0.00028800,22.12721000
0.00030400,27.23302000
0.00032000,28.93085000
0.00033600,34.03666000
0.00035200,32.33883000
0.00036800,39.14247000
0.00038400,37.44463000
0.00040000,44.25443000
0.00041600,42.55044000
0.00043200,47.65625000
0.00044800,45.95226000
0.00046400,52.76205000
0.00048000,51.05807000
0.00049600,54.46604000
0.00051200,54.46604000
0.00052800,57.86786000
0.00054400,59.57185000
0.00056000,59.57185000
0.00057600,59.57185000
0.00059200,62.97367000
0.00060800,61.27583000
0.00062400,64.67765000
0.00064000,61.27583000
0.00065600,66.38164000
0.00067200,62.97367000
0.00068800,66.38164000
0.00070400,64.67765000
0.00072000,66.38164000
0.00073600,64.67765000
0.00075200,64.67765000
0.00076800,62.97367000
0.00078400,64.67765000
0.00080000,61.27583000
0.00081600,62.97367000
0.00083200,61.27583000
0.00084800,59.57185000
0.00086400,59.57185000
0.00088000,56.16388000
0.00089600,56.16388000
0.00091200,54.46604000
0.00092800,52.76205000
0.00094400,51.05807000
0.00096000,49.36023000
0.00097600,45.95226000
0.00099200,44.25443000
0.00100800,42.55044000
0.00102400,39.14247000
0.00104000,35.74065000
0.00105600,35.74065000
0.00107200,30.63484000
0.00108800,30.63484000
0.00110400,25.52903000
0.00112000,23.82505000
0.00113600,18.71924000
0.00115200,18.71924000
0.00116800,13.61343000
0.00118400,11.90945000
0.00120000,6.80364100
0.00121600,5.10580700
0.00123200,1.69783400
0.00124800,0.00000000
0.00126400,-5.10580700
0.00128000,-6.80364100
0.00129600,-10.21161000
0.00131200,-11.90945000
