Time,Channel A
(ms),(mV)

0.00000000,18.71924000
0.00001600,18.71924000
0.00003200,17.01525000
0.00004800,17.01525000
0.00006400,13.61343000
0.00008000,15.31742000
0.00009600,11.90945000
0.00011200,13.61343000
0.00012800,8.50762700
0.00014400,10.21161000
0.00016000,5.10580700
0.00017600,8.50762700
0.00019200,3.40182100
0.00020800,5.10580700
0.00022400,1.69783400
0.00024000,3.40182100
0.00025600,-1.69783400
0.00027200,0.00000000
0.00028800,-3.40182100
0.00030400,-1.69783400
0.00032000,-5.10580700
0.00033600,-5.10580700
0.00035200,-8.50762700
0.00036800,-6.80364100
0.00038400,-10.21161000
0.00040000,-10.21161000
0.00041600,-13.61343000
0.00043200,-11.90945000
0.00044800,-17.01525000
0.00046400,-13.61343000
0.00048000,-18.71924000
0.00049600,-17.01525000
0.00051200,-22.12721000
0.00052800,-18.71924000
0.00054400,-23.82505000
0.00056000,-22.12721000
0.00057600,-23.82505000
0.00059200,-23.82505000
0.00060800,-25.52903000
0.00062400,-27.23302000
0.00064000,-27.23302000
0.00065600,-27.23302000
0.00067200,-28.93085000
0.00068800,-28.93085000
0.00070400,-30.63484000
0.00072000,-30.63484000
0.00073600,-30.63484000
0.00075200,-30.63484000
0.00076800,-30.63484000
0.00078400,-32.33883000
0.00080000,-30.63484000
0.00081600,-30.63484000
0.00083200,-32.33883000
0.00084800,-32.33883000
0.00086400,-30.63484000
0.00088000,-32.33883000
0.00089600,-30.63484000
0.00091200,-32.33883000
0.00092800,-28.93085000
0.00094400,-30.63484000
0.00096000,-27.23302000
0.00097600,-30.63484000
0.00099200,-27.23302000
0.00100800,-27.23302000
0.00102400,-27.23302000
0.00104000,-27.23302000
0.00105600,-25.52903000
0.00107200,-25.52903000
0.00108800,-23.82505000
0.00110400,-23.82505000
0.00112000,-22.12721000
0.00113600,-22.12721000
0.00115200,-17.01525000
0.00116800,-20.42323000
0.00118400,-15.31742000
0.00120000,-17.01525000
0.00121600,-11.90945000
0.00123200,-15.31742000
0.00124800,-10.21161000
