Time,Channel A
(ms),(mV)

0.00000000,-45.95226000
0.00001600,-51.05807000
0.00003200,-49.36023000
0.00004800,-52.76205000
0.00006400,-51.05807000
0.00008000,-56.16388000
0.00009600,-54.46604000
0.00011200,-57.86786000
0.00012800,-56.16388000
0.00014400,-61.27583000
0.00016000,-59.57185000
0.00017600,-61.27583000
0.00019200,-59.57185000
0.00020800,-61.27583000
0.00022400,-61.27583000
0.00024000,-62.97367000
0.00025600,-61.27583000
0.00027200,-62.97367000
0.00028800,-59.57185000
0.00030400,-62.97367000
0.00032000,-57.86786000
0.00033600,-61.27583000
0.00035200,-57.86786000
0.00036800,-59.57185000
0.00038400,-56.16388000
0.00040000,-57.86786000
0.00041600,-54.46604000
0.00043200,-54.46604000
0.00044800,-51.05807000
0.00046400,-51.05807000
0.00048000,-49.36023000
0.00049600,-47.65625000
0.00051200,-44.25443000
0.00052800,-42.55044000
0.00054400,-40.84645000
0.00056000,-39.14247000
0.00057600,-35.74065000
0.00059200,-35.74065000
0.00060800,-32.33883000
0.00062400,-30.63484000
0.00064000,-25.52903000
0.00065600,-25.52903000
0.00067200,-22.12721000
0.00068800,-20.42323000
0.00070400,-17.01525000
0.00072000,-15.31742000
0.00073600,-11.90945000
0.00075200,-8.50762700
0.00076800,-6.80364100
0.00078400,-3.40182100
0.00080000,-3.40182100
0.00081600,1.69783400
0.00083200,3.40182100
0.00084800,8.50762700
0.00086400,8.50762700
0.00088000,13.61343000
0.00089600,13.61343000
0.00091200,18.71924000
0.00092800,18.71924000
0.00094400,23.82505000
0.00096000,23.82505000
0.00097600,28.93085000
0.00099200,28.93085000
0.00100800,32.33883000
0.00102400,34.03666000
0.00104000,37.44463000
0.00105600,37.44463000
0.00107200,42.55044000
0.00108800,42.55044000
0.00110400,45.95226000
0.00112000,44.25443000
0.00113600,49.36023000
0.00115200,47.65625000
0.00116800,52.76205000
0.00118400,49.36023000
0.00120000,56.16388000
0.00121600,52.76205000
0.00123200,56.16388000
0.00124800,54.46604000
0.00126400,57.86786000
